Frame,Prediction,Confidence,FPS
1,non-crocodile,0.9618,1.11
2,non-crocodile,0.9616,1.63
3,non-crocodile,0.9611,2.07
4,non-crocodile,0.9614,2.15
5,non-crocodile,0.9617,2.5
6,non-crocodile,0.9604,2.28
7,non-crocodile,0.9598,3.51
8,non-crocodile,0.9599,3.45
9,non-crocodile,0.9619,3.4
10,non-crocodile,0.9638,3.52
11,non-crocodile,0.9651,3.53
12,non-crocodile,0.9643,3.32
13,non-crocodile,0.9618,3.36
14,non-crocodile,0.9642,3.51
15,non-crocodile,0.9637,3.0
16,non-crocodile,0.9626,2.47
17,non-crocodile,0.9629,2.75
18,non-crocodile,0.964,2.71
19,non-crocodile,0.9632,2.85
20,non-crocodile,0.9622,2.8
21,non-crocodile,0.9622,2.65
22,non-crocodile,0.9627,2.88
23,non-crocodile,0.9616,2.71
24,non-crocodile,0.9625,2.64
25,non-crocodile,0.9627,2.78
26,non-crocodile,0.9639,2.58
27,non-crocodile,0.9656,2.71
28,non-crocodile,0.9623,2.63
29,non-crocodile,0.9621,2.81
30,non-crocodile,0.9617,2.64
31,non-crocodile,0.9613,2.63
32,non-crocodile,0.9557,2.78
33,non-crocodile,0.9555,2.78
34,non-crocodile,0.9529,2.76
35,non-crocodile,0.9529,2.79
36,non-crocodile,0.9534,2.74
37,non-crocodile,0.9531,2.8
38,non-crocodile,0.9534,2.75
39,non-crocodile,0.9525,2.67
40,non-crocodile,0.9523,2.78
41,non-crocodile,0.9523,2.52
42,non-crocodile,0.9524,2.36
43,non-crocodile,0.9523,2.55
44,non-crocodile,0.9524,2.9
45,non-crocodile,0.9522,2.51
46,non-crocodile,0.9523,3.21
47,non-crocodile,0.9523,3.28
48,non-crocodile,0.9523,3.09
49,non-crocodile,0.9523,2.89
50,non-crocodile,0.9523,2.84
51,crocodile,0.8542,2.6
52,crocodile,0.854,2.72
53,crocodile,0.8552,2.65
54,crocodile,0.8546,2.86
55,crocodile,0.8546,2.63
56,crocodile,0.8541,2.75
57,crocodile,0.8548,2.66
58,crocodile,0.8555,2.48
59,crocodile,0.8552,2.67
60,crocodile,0.8568,2.65
61,crocodile,0.8558,2.71
62,crocodile,0.8562,2.74
63,crocodile,0.8551,2.63
64,crocodile,0.8558,2.75
65,crocodile,0.8576,2.7
66,crocodile,0.859,2.52
67,crocodile,0.8603,2.48
68,crocodile,0.8623,2.43
69,crocodile,0.865,2.33
70,crocodile,0.8657,2.15
71,crocodile,0.8682,2.64
72,crocodile,0.8655,2.79
73,crocodile,0.862,2.55
74,crocodile,0.8709,2.23
75,crocodile,0.8755,2.18
76,crocodile,0.879,2.18
77,crocodile,0.8791,2.2
78,crocodile,0.885,2.22
79,crocodile,0.8878,2.23
80,crocodile,0.8934,2.15
81,crocodile,0.8966,2.15
82,crocodile,0.9003,2.61
83,crocodile,0.9134,2.4
84,crocodile,0.9143,2.55
85,crocodile,0.9186,2.06
86,crocodile,0.9287,3.15
87,crocodile,0.9259,3.33
88,crocodile,0.9286,3.33
89,crocodile,0.9302,3.25
90,crocodile,0.9389,2.94
91,crocodile,0.936,2.55
92,crocodile,0.9312,2.29
93,crocodile,0.9311,2.77
94,crocodile,0.9323,2.67
